Nombre,Dirección,Localidad,Teléfono,Horario,Precio,Página web,Contacto,Correo electrónico,Observaciones,Perfil 1,Perfil 2,Foto
Academia Colombiana de Historia,CL 10 # 8 - 95,Candelaria,742 08 48 - 341 36 15,Lunes a viernes de 8:30A.M.-1:00P.M. y de  2:30P.M.-5:30P.M.,NA,www.academiacolombianadehistoria.com,Fabián Ortiz,secretario.academico@academiahistoria.org.co,Ninguna,Cultural,Mochilero,
Agroparque Los Soches,VEREDA LOS SOCHES,Vereda Los Soches,NR,NR,NR,NR,NR,NR,Ninguna,Mochilero,Ocio,
Alameda de Fátima,KR 51 SUR ENTRE LA AUTO SUR Y LA KR 44 CONTINUANDO HASTA LA AV BOYACÁ,Tunjuelito,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Ocio,
Alameda El  Porvenir,"FONTIBÓN, KENNEDY, BOSA","Fontibón, Kennedy, Bosa",NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Ocio,
Alameda El Tunal,AUTO SUR AV CENTENARIO,Tunjuelito,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Ocio,
Alcaldía Local de San Cristóbal,AV 1 DE MAYO # 1 - 40 SUR,San Cristóbal,363 66 60 Extensión 113,Lunes a Viernes de 7:00 A.M. a 5:00 P.M. Funcionarios y Visitantes,NA,www.sancristobal.gov.co,Atención al ciudadano: Emilse Cristiano,notificaciones.judiciales@gobiernobogota.gov.co,Ninguna,Cultural,Negocio,
Altar Mayor del Templo de San Francisco,AV JIMENEZ # 7 - 10,Candelaria,NA,NA,NA,NA,NA,NA,"No se permite tomar fotografías, uno de los espacios más deslumbrantes del arte colonial es el presbiterio.",Religioso,Cultural,
Archivo de Bogotá,CL 6B # 5 - 75,Candelaria,381 30 00  Extensión 4113 - 4117,Lunes a Viernes de 7:00 A.M. a 5:00 P.M.. Funcionarios y visitantes,NA,http://archivobogota.secretariageneral.gov.co/,Yury Hernández (recepción),contactoarchivodebogota@alcaldiabogota.gov.co,Ninguna,Negocio,Cultural,
Archivo General de la Nación,KR 6 # 6 - 91,Candelaria,328 28 88,Lunes a Viernes de 8:00 A.M. a 5:00 P.M. Funcionarios y Visitantes,NA,http://www.archivogeneral.gov.co/,Gina Sánchez (Departamento de asistencia técnica),contacto@archivogeneral.gov.co,Ninguna,Negocio,Cultural,
"Archivo Histórico Javeriano - Juan Manuel Pacheco, SJ.",KR 5 # 39 - 00 ED PEDRO ARRUPE (94) P 1,Chapinero,320 83 20 Extensión 5955 - 5961,Horario de consulta en sala de 9:00 A.M. - 12:00 P.M. y 2:00 P.M. - 5:00 P.M. de Lunes a Viernes,NA,NR,Gina Zanella Adarme - Encargada,historicopuj@javeriana.edu.co,"El Archivo Histórico Javeriano, cuenta con Fondos y Colecciones para consulta, sin embargo las personas interesadas en visitarlo deben programar su visita y temáticas de interés para coordinar la logística, esto debido a que no es un espacio de flujo masivo de personas como lo son otras instituciones tales como Museos que cuentan con la infraestructura adecuada para esto.",Negocio,Cultural,
Asociación De Mercado de las Pulgas de Usaquén,KR 5 # 120 A - 07,Usaquén,772 37 00,Lunes a Viernes de 8:00 A.M. a 5:00 P.M. ;Sábados 8:00 A.M. a 12:00 P.M. Horarios Administrativos,NA,www.pulgasusaquen.com,William Ardila ( Representante Legal),Presidencia@pulgasusaquen.com,Ninguna,Mochilero,Ocio,
Atlantis Plaza Centro Comercial,CL 81 # 13 - 05,Chapinero,606 62 00,"Centro Comercial: Lunes a miércoles: 10:30 A.M. a 8:00 P.M., Jueves a sábado: 10:30 A.M. a 9:00 P.M., Domingos y festivos: 12:00 m a 7:00 P.M.. Comidas: Lunes a Miércoles: 12:00 a 9:00 P.M. Sábado: 12:00 m a 10:00 P.M. Domingos y festivos: 12:00 m a 9:00 P.M.. Administración: Lunes a viernes: 8:00 A.M. a 6:00 P.M.. Los sábados, domingos y festivos habrá un administrativo a cargo.",NA,http://atlantisplaza.com/,Fernando Nuñez,secgerencia@atlantisplaza.com,Ninguna,Ocio,Negocio,
Auditorio  - Biblioteca Fabio Lozano - Universidad Jorge Tadeo Lozano,KR 24 # 22 - 40 ,Los Mártires,242 70 30 Extensión 1724,Lunes a Viernes de 8:00 A.M. a 6:00 P.M.; Sábado de 9:00 A.M. a 5:00 P.M.,NA,http://avalon.utadeo.edu.co/dependencias/auditorio/,Vilma Gil - Subdirectora,isabel.vernaza@utadeo.edu.co; vilma.gil@utadeo.edu.co,Ninguna,Cultural,Ocio,
Auditorio León de Greiff - Universidad Nacional,KR 30 # 45 - 03 CIUDAD UNIVERSITARIA,Teusaquillo,316 50 00 Extensión 17605,Horario según progrA.M.ación de funciones,Según las funciones,www.patrimoniocultural.unal.edu.co,María Belén Sáez Ibarra  - Directora,dicultura@unal.edu.co,Ninguna,Cultural,Ocio,
Aula Ambiental Parque Distrital de Montaña Entrenubes,KR 3 ESTE  # 51 - 00 SUR BARRIO EL TRIUNFO,"Rafael Uribe Uribe -San Cristóbal, Usme",377 88 99 - 377 84 30,Lunes a Domingos de 8:00 A.M. a 4:30 P.M.,NA,http://ambientebogota.gov.co/web/sda/educacion,Luz Stella Rey Sabogal (Coordinadora de Educación Ambiental),Luz.rey@ambientebogota.gov.co,"Esta Aula Ambiental se encuentra inmersa en un bosque Alto Andino por lo que sus visitantes tienen la oportunidad de reconocer la diversidad de flora y fauna presente en este tipo de ecosistemas. Su énfasis ambiental hace referencia a la biodiversidad, a través de ella, se abordan temas como los Ecosistemas Estratégicos de Bogotá, análisis de diferentes comunidades y especies vegetales, importancia de conservar y proteger los recursos naturales, entre otros. Así mismo, se generan reflexiones sobre la historia de construcción social del territorio y se puede observar, desde enormes miradores, el paisaje de la ciudad.

En su territorio nacen siete quebradas: Seca, Chiguaza, Bolonia, Verejones, La olla del Ramo, Santa Librada y Yomasa, que desembocan en el río Tunjuelo, uno de los tres principales afluentes del río Bogotá. Los cerros de Guacamayas, Juan Rey y cuchilla del Gavilán, presentan gran variedad de plantas, como: musgos, hierbas, helechos, orquídeas, arbustos y árboles que a pesar de su degradación son refugio de especies de fauna nativa. El reconocido Parque Entre Nubes es una reserva natural y es el punto de atención y de tranquilidad que atrae a varios turistas y ciudadanos.",Cultural,Mochilero,
