Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Respuesta 5
"¿Viaja sólo, en familia o en grupo?",Solo,Familia ,Grupo de amigos ,,
¿En dónde se va a quedar?,Hotel 2 Estrellas ,Hotel 3 Estrellas,Hostal ,Hotel 5 Estrellas ,Hotel 4 Estrellas
¿Cuándo fue la última vez que fue a un evento de su religión?,1 semana,1 mes,6 meses,1 año ,Más de 1 año
¿Qué preifiere visitar?,Pueblo ,Castillo,Montaña ,Playa ,Ciudad
¿Qué actividades prefiere?,Quedarse en casa,Leer,Salir de fiesta,Paseo por un parque,Compras
"En otro país, ¿qué frase le parece más importante saber?",¿Qué religión se práctica en este lugar? ,¿Dónde queda este punto de interes? ,¿Vamos por una cerveza?,¿Cuál es el restaurante más rico del lugar?,¿Dónde queda el banco/caja de cambio más cercana? 
¿Qué no puede faltar en su mochila cuando viaja?,Un libro ,Una camara fotografica,Un mapa ,Un bloqueador ,Una tarjeta de credito 
¿En qué época del año prefiere viajar?,Semana Santa ,Principio de año para comenzar bien el año ,Cuando haya promoción de tiquetes solamente ,Verano por el calor ,No hay preferencias 
¿Cuál es la razón principal por la que viaja?,Visitar sitios de importancia religiosa,Conocer la cultura e historia del lugar ,Conocer otro lugar del mundo,Para descansar ,Por trabajo 
¿Cuántos años tiene?,De 41 años a 50 años,De 22 años a 30 años,Menos de 21 años,Más de 50 años,De 31 años a 40 años 
